Country/Region,2020/1/1,2020/1/2,2020/1/3,2020/1/4,2020/1/5,2020/1/6,2020/1/7,2020/1/8,2020/1/9,2020/1/10,2020/1/11,2020/1/12,2020/1/13,2020/1/14,2020/1/15,2020/1/16,2020/1/17,2020/1/18,2020/1/19,2020/1/20,2020/1/21,2020/1/22,2020/1/23,2020/1/24,2020/1/25,2020/1/26,2020/1/27,2020/1/28,2020/1/29,2020/1/30,2020/1/31,2020/2/1,2020/2/2,2020/2/3,2020/2/4,2020/2/5,2020/2/6,2020/2/7,2020/2/8,2020/2/9,2020/2/10,2020/2/11,2020/2/12,2020/2/13,2020/2/14,2020/2/15,2020/2/16,2020/2/17,2020/2/18,2020/2/19,2020/2/20,2020/2/21,2020/2/22,2020/2/23,2020/2/24,2020/2/25,2020/2/26,2020/2/27,2020/2/28,2020/2/29,2020/3/1,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7,2020/3/8,2020/3/9,2020/3/10,2020/3/11,2020/3/12,2020/3/13,2020/3/14,2020/3/15,2020/3/16,2020/3/17,2020/3/18,2020/3/19,2020/3/20,2020/3/21,2020/3/22,2020/3/23,2020/3/24,2020/3/25,2020/3/26,2020/3/27,2020/3/28,2020/3/29,2020/3/30,2020/3/31,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6,2020/5/7,2020/5/8,2020/5/9,2020/5/10,2020/5/11,2020/5/12,2020/5/13,2020/5/14,2020/5/15,2020/5/16,2020/5/17,2020/5/18,2020/5/19,2020/5/20,2020/5/21,2020/5/22,2020/5/23,2020/5/24,2020/5/25
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recommend movement restriction,,,coordinated public information campaign (e.g. across traditional and social media),Require cancelling public events,,recommend closing workplace(or work from home),,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",Require closing school of all levels,,,Ban on high-risk regions,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,Restrictions on gatherings between 100-1000 people,,,,Total border closure,recommend closing workplace(or work from home),,require closing workplace (or work from home) for some sectors or categories of workers,Require closing school of all levels,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,,,,,,,,,,,,,Restrictions on gatherings between 10-100 people,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Screening,,,,public officials urging caution about COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on very large gatherings (the limit is above 1000 people),,,,coordinated public information campaign (e.g. across traditional and social media),,Restrictions on gatherings between 10-100 people,Require closing school of all levels,,,,,,,,Restrict movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recommend not leaving house,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recommend closing workplace(or work from home),,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,recommend not leaving house,,,Require closing school of all levels,,Restrictions on gatherings of less than 10 people,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recommend closing workplace(or work from home),Restrictions on gatherings between 100-1000 people,Require closing school of all levels,,Quarantine arrivals from high-risk regions,Total border closure,Restrict movement,,,,,,,,Restrictions on gatherings of less than 10 people,,,,,,,,,,,,,,,,,,,,,,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",Restrictions on gatherings between 100-1000 people,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,Restrictions on gatherings between 10-100 people,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,Ban on high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require closing school of all levels,,Restrictions on gatherings of less than 10 people,Total border closure,Require closing public transport(or prohibit most citizens from using it),,recommend closing workplace(or work from home),,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recommend not leaving house,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban on high-risk regions,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,Ban on high-risk regions,,,,Require closing school of all levels,,,,,,,,,,,,,,,Restrictions on gatherings of less than 10 people,,,,,,,,Total border closure,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",Restrict movement,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrict movement,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require closing school of all levels,Restrictions on gatherings between 10-100 people,,,recommend closing workplace(or work from home),recommend not leaving house,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,Restrict movement,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,,,,Total border closure,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,Screening,Ban on high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 100-1000 people,Total border closure,,Require closing school of all levels,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,recommend not leaving house,,Restrictions on gatherings of less than 10 people,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recommend not leaving house,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,Ban on high-risk regions,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,Require closing public transport(or prohibit most citizens from using it),,coordinated public information campaign (e.g. across traditional and social media),Total border closure,,,,,,,,,,,,,,,,"Require not leaving house with minimal exceptions (e.g. allowed to leave only once every few days, or only one person can leave at a time, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),Screening,,,,,Quarantine arrivals from high-risk regions,Require closing school of all levels,,Recommend movement restriction,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips","require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,"Require not leaving house with minimal exceptions (e.g. allowed to leave only once every few days, or only one person can leave at a time, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,Ban on high-risk regions,,,,,,,Recommend cancelling public events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require closing school of all levels,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,Screening,Require cancelling public events,,Require closing school of all levels,,require closing workplace (or work from home) for some sectors or categories of workers,Total border closure,,,,,,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,recommend not leaving house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",Ban on high-risk regions,,require closing workplace (or work from home) for some sectors or categories of workers,,,,Require closing school of all levels,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,Restrict movement,,,,,Recommend movement restriction,,,,,,,,,,,,,,,,,Restrict movement,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,Screening,,,,,,public officials urging caution about COVID-19,,,,Ban on high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require closing school of all levels,,Recommend cancelling public events,,,Require closing public transport(or prohibit most citizens from using it),,require closing workplace (or work from home) for some sectors or categories of workers,Total border closure,,,,Restrictions on gatherings of less than 10 people,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,Recommend movement restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,Screening,,,,,Quarantine arrivals from high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,,,,,,,,Restrictions on very large gatherings (the limit is above 1000 people),Ban on high-risk regions,,Require closing school of all levels,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,Total border closure,Restrictions on gatherings of less than 10 people,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,Restrict movement,Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recommend not leaving house,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban on high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,Restrictions on very large gatherings (the limit is above 1000 people),,,,,,recommend closing school,require closing workplace (or work from home) for some sectors or categories of workers,,,,Require closing school of all levels,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,,,Require closing school of all levels,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,,,,,Require closing school of all levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,recommend closing workplace(or work from home),,Require closing school of all levels,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,,,,,
Saint Barthelemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarantine arrivals from high-risk regions,,coordinated public information campaign (e.g. across traditional and social media),,,,Require closing school of all levels,Total border closure,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,,,,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,Restrict movement,,,,,,,,,,,,,,,,recommend not leaving house,,Quarantine arrivals from high-risk regions,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrict movement,Require closing school of all levels,,,,Require cancelling public events,,Total border closure,require closing workplace (or work from home) for some sectors or categories of workers,,,,,Require closing public transport(or prohibit most citizens from using it),,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,"Require not leaving house with minimal exceptions (e.g. allowed to leave only once every few days, or only one person can leave at a time, etc.)",,,,,,,,,,,,,,,,,,,,Restrictions on gatherings of less than 10 people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 100-1000 people,Screening,Require closing school of all levels,,Ban on high-risk regions,,Total border closure,,,Restrictions on gatherings of less than 10 people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 100-1000 people,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,Restrictions on gatherings between 100-1000 people,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",recommend closing workplace(or work from home),,"Require not leaving house with minimal exceptions (e.g. allowed to leave only once every few days, or only one person can leave at a time, etc.)",,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,,,,,,,,,,recommend not leaving house,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,Quarantine arrivals from high-risk regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban on high-risk regions,,,,,Recommend cancelling public events,Require closing school of all levels,,,,,,Require cancelling public events,,,,,,,,Restrictions on gatherings of less than 10 people,,,,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 10-100 people,,,,public officials urging caution about COVID-19,Ban on high-risk regions,Require cancelling public events,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,,,Total border closure,,,Require closing school of all levels,require closing workplace (or work from home) for some sectors or categories of workers,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,recommend not leaving house,,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,recommend not leaving house,,,,,,,,,,,,,,,,,,,
Singapore,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,Ban on high-risk regions,,,,,,,,,,,,,,,Recommend cancelling public events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 100-1000 people,,,,,,,,,,,,,,Restrictions on gatherings between 10-100 people,,,,,,,recommend not leaving house,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)","require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,Quarantine arrivals from high-risk regions,,,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,
Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,Recommend cancelling public events,,,Quarantine arrivals from high-risk regions,Require closing school of all levels,,recommend not leaving house,require closing workplace (or work from home) for some sectors or categories of workers,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,Recommend movement restriction,,,,,,,,,,,,,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,recommend not leaving house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,Restrictions on gatherings between 100-1000 people,,,Ban on high-risk regions,,,,recommend not leaving house,,Require closing school of all levels,,,Restrictions on gatherings of less than 10 people,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,Restrict movement,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 10-100 people,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban on high-risk regions,,,,Total border closure,Restrictions on gatherings between 10-100 people,,Require closing school of all levels,,,,,,,,,,,,,,,,,,,,,recommend not leaving house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,Recommend movement restriction,Restrictions on gatherings between 10-100 people,,Require closing school of all levels,,,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarantine arrivals from high-risk regions,,,,,,,,,,,,,,,,,,Ban on high-risk regions,,,Restrictions on gatherings of less than 10 people,,,,Require closing school of all levels,,,,recommend not leaving house,recommend closing workplace(or work from home),,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,Restrict movement,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,,,,,,Require closing public transport(or prohibit most citizens from using it),require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recommend closing workplace(or work from home),Restrictions on very large gatherings (the limit is above 1000 people),,,,require closing workplace (or work from home) for some sectors or categories of workers,,,Total border closure,,,,,,,,,,,,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,Screening,,public officials urging caution about COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarantine arrivals from high-risk regions,,,,,,,,,,,,,,,,,,"Require closing school(only some levels or categories,eg just high school, or just public schools)",Restrictions on gatherings of less than 10 people,,"require closing (or work from home) all but essential workplaces (eg grocery stores, doctors)",,"Require not leaving house with minimal exceptions (e.g. allowed to leave only once every few days, or only one person can leave at a time, etc.)",Total border closure,,,,Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,,,,,,,,,,,,,,Recommend closing public transport(or significantly reduce volumeroutemeans of transport available),,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,
St Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,public officials urging caution about COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordinated public information campaign (e.g. across traditional and social media),recommend closing workplace(or work from home),,Total border closure,,,,,,,recommend not leaving house,,,Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,,,,,,Restrict movement,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,,,,,,,,,,,,require closing workplace (or work from home) for some sectors or categories of workers,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Require cancelling public events,coordinated public information campaign (e.g. across traditional and social media),,Require closing school of all levels,,,,,,,,,,,,"require not leaving house with exceptions for daily exercise, grocery shopping, and essential trips",,,,,,,,,Require closing public transport(or prohibit most citizens from using it),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restrictions on gatherings between 10-100 people,,,,,,,,,,Recommend cancelling public events,,,,,
